comment,target
"Thanks for the feedback Expect more videos soon send a direct message i have something special for you....,thanks feedback expect videos soon send direct message something special",1
"Thanks for watching and leaving a comment you have been selected as a winner Dm me to claim your prize on nicegram only,thanks watching leaving comment selected winner dm claim prize nicegram",1
dm me,1
check my profile,1
don't read my username,1
dont read my username,1
finally it's here,1
finally its here,1
congratulations you won a giveaway,1
"Congratulations you've been shortlisted for a prize!!! Send a text to acknowledge your prize
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",1
Thanks message me I've got something for you,1